libutil-linux 2.28.2-2
libuv 1.10.1-1
libva 1.7.3-1
libvdpau 1.1.1-2
libvirt 2.4.0-2
libvirt-glib 0.2.3-1
libvirt-python 2.2.0-1
libvisual 0.4.0-6
libvoikko 4.0.2-1
libvorbis 1.3.5-1
libvpx 1.6.0-2
libvterm 0.1.git1.c4317a6-2
libwacom 0.22-1
libwbclient 4.5.3-1
libwebp 0.5.1-1
libwnck 2.31.0-1
libx11 1.6.4-1
libx264 2:148.20160920-1
libxau 1.0.8-2
libxaw 1.0.13-1
libxcb 1.12-1
libxcomposite 0.4.4-2
libxcursor 1.1.14-2
libxdamage 1.1.4-2
libxdg-basedir 1.2.0-3
libxdmcp 1.1.2-1
libxext 1.3.3-1
libxfce4ui 4.12.1-2
libxfce4util 4.12.1-1
libxfixes 5.0.3-1
libxfont 1.5.2-1
libxft 2.3.2-1
libxi 1.7.8-1
libxinerama 1.1.3-2
libxkbcommon 0.7.0-1
libxkbcommon-x11 0.7.0-1
libxkbfile 1.0.9-1
libxklavier 5.4-1
libxml2 2.9.4+12+ge905f08-2
libxmu 1.1.2-1
libxnvctrl 375.26-1
libxpm 3.5.12-1
libxrandr 1.5.1-1
libxrender 0.9.10-1
libxres 1.0.7-1
libxshmfence 1.2-1
libxslt 1.1.29+23+geb1030d-1
libxss 1.2.2-2
libxt 1.1.5-1
libxtst 1.2.3-1
libxv 1.0.11-1
libxxf86dga 1.1.4-1
libxxf86vm 1.1.4-1
licenses 20140629-1
lightdm 1:1.18.3-1
lightdm-gtk-greeter 1:2.0.2-1
lightdm-gtk-greeter-settings 1.2.1-4
linux 4.8.13-1
linux-api-headers 4.7-1
linux-firmware 20161005.9c71af9-1
lirc 1:0.9.4.c-2
llvm-libs 3.9.0-3
logrotate 3.11.0-1
lsb-release 1.4-14
lsof 4.89-1
lua 5.3.3-2
lua51 5.1.5-6
lua52 5.2.4-2
lvm2 2.02.168-1
lxappearance 0.6.2-1
lz4 1:1.7.4.2-1
lzo 2.09-1
m4 1.4.17-2
maia-gtk-theme 416ff43-1
make 4.2.1-1
man-db 2.7.6.1-2
man-pages 4.09-1
mdadm 3.4-1
mencoder 37857-1
mesa 13.0.2-2
mesa-demos 8.3.0-2
mime-types 9-1
mjpegtools 2.1.0-3
mkinitcpio 22-1
mkinitcpio-busybox 1.24.2-1
mlocate 0.26-5
mobile-broadband-provider-info 20151214-1
mousepad 0.4.0-2
mozilla-common 1.4-4
mpd 0.19.21-1
mpfr 3.1.5-1
mpg123 1.23.8-1
mpv 1:0.22.0-2
msgpack-c 2.0.0-1
msmtp 1.6.6-1
msmtp-mta 1.6.6-1
mtdev 1.1.5-1
musicbrainz 2.1.5-7
mutt 1.7.2-1
nano 2.7.2-1
ncmpcpp-git 1:2075.44d343d-1
ncurses 6.0+20161203-1
neofetch 2.0.2-1
neon 0.30.2-1
neovim 0.1.7-1
net-snmp 5.7.3-3
net-tools 1.60.20160710git-1
netcdf 4.4.1-2
netcf 0.2.8-4
netctl 1.12-2
nettle 3.3-1
network-manager-applet 1.4.2-1
networkmanager 1.4.4-1
networkmanager-openvpn 1.2.6-1
newt-syrup 0.2.0-1
nitrogen 1.6.0-2
nm-connection-editor 1.4.2-1
noto-fonts 20161003-1
npth 1.3-1
nspr 4.13.1-1
nss 3.27.2-1
ntfs-3g 2016.2.22-1
numactl 2.0.11-1
nvidia 375.26-1
nvidia-libgl 375.26-2
nvidia-settings 375.26-1
nvidia-utils 375.26-2
oblogout-blurlock 20161220-1
ocl-icd 2.2.10-1
openbsd-netcat 1.105_7-7
opencore-amr 0.1.3-2
opendesktop-fonts 1.4.2-3
openjpeg 1.5.2-1
openjpeg2 2.1.2-2
openresolv 3.8.1-1
openssl 1.0.2.j-1
openvpn 2.3.14-1
opus 1.1.3-2
orc 0.4.26-1
osinfo-db 20161026-1
otf-hermit 1.21-2
p11-kit 0.23.2-1
p7zip 16.02-2
package-query 1.8-2
packagekit 1.1.4-1
pacman 5.0.1-4
pacman-mirrorlist 20161214-1
pam 1.3.0-1
pamac-aur 4.1.6-2
pambase 20130928-1
pango 1.40.3-1
pangomm 2.40.1-1
parted 3.2-5
patch 2.7.5-1
pavucontrol 3.0-4
pciutils 3.5.2-1
pcmciautils 018-7
pcre 8.39-2
pcre2 10.22-2
perl 5.24.0-2
perl-clone 0.38-2
perl-dbi 1.636-2
perl-error 0.17024-1
perl-uri 1.71-1
perl-xml-libxml 2.0128-1
perl-xml-namespacesupport 1.11-3
perl-xml-parser 2.44-3
perl-xml-sax 0.99-4
perl-xml-sax-base 1.08-3
pinentry 1.0.0-1
pixman 0.34.0-1
pkcs11-helper 1.11-3
pkg-config 0.29.1-2
polkit 0.113-4
polkit-gnome 0.105-3
poppler 0.50.0-1
popt 1.16-8
portaudio 190600_20161030-1
powerline-common 2.5-1
powerline-fonts 2.5-1
ppp 2.4.7-2
procps-ng 3.3.12-1
psmisc 22.21-3
pulseaudio 9.0-1
pulseaudio-alsa 2-3
pycharm-community 2016.3.1-1
pygobject-devel 3.22.0-1
pygobject2-devel 2.28.6-12
pygtk 2.24.0-6
python 3.5.2-3
python-appdirs 1.4.0-4
python-cairo 1.10.0-6
python-cffi 1.9.1-1
python-chardet 2.3.0-2
python-dbus 1.2.4-1
python-dbus-common 1.2.4-1
python-gobject 3.22.0-1
python-packaging 16.8-1
python-pillow 3.4.2-1
python-pip 9.0.1-1
python-ply 3.9-1
python-psutil 5.0.1-1
python-pycparser 2.17-1
python-pycups 1.9.73-2
python-pycurl 7.43.0-1
